contract,type,target,corr
ag2508.SF,top,au2508.SF,0.58
ag2508.SF,top,cu2507.SF,0.56
ag2508.SF,top,y2601.DF,0.43
ag2508.SF,top,sn2507.SF,0.4
ag2508.SF,top,p2601.DF,0.38
ag2508.SF,top,al2507.SF,0.37
ag2508.SF,top,ss2508.SF,0.36
ag2508.SF,top,l2601.DF,0.35
ag2508.SF,top,ni2507.SF,0.34
ag2508.SF,top,pb2507.SF,0.33
ag2508.SF,bottom,RM509.ZF,0.0
ag2508.SF,bottom,JR507.ZF,0.0
ag2508.SF,bottom,SF509.ZF,0.0
ag2508.SF,bottom,WH507.ZF,0.0
ag2508.SF,bottom,ZC507.ZF,0.0
ag2508.SF,bottom,jd2508.DF,-0.01
ag2508.SF,bottom,c2509.DF,-0.05
ag2508.SF,bottom,fb2510.DF,-0.05
ag2508.SF,bottom,ps2507.GF,-0.06
ag2508.SF,bottom,wr2510.SF,-0.14
al2507.SF,top,l2601.DF,0.67
al2507.SF,top,cu2507.SF,0.65
al2507.SF,top,zn2507.SF,0.62
al2507.SF,top,CF509.ZF,0.54
al2507.SF,top,pp2509.DF,0.51
al2507.SF,top,TA509.ZF,0.5
al2507.SF,top,i2601.DF,0.5
al2507.SF,top,ss2508.SF,0.49
al2507.SF,top,p2601.DF,0.49
al2507.SF,top,v2601.DF,0.49
al2507.SF,bottom,jd2508.DF,0.02
al2507.SF,bottom,JR507.ZF,0.0
al2507.SF,bottom,PM507.ZF,0.0
al2507.SF,bottom,RI507.ZF,0.0
al2507.SF,bottom,ZC507.ZF,0.0
al2507.SF,bottom,LR507.ZF,0.0
al2507.SF,bottom,WH507.ZF,0.0
al2507.SF,bottom,a2507.DF,-0.01
al2507.SF,bottom,wr2510.SF,-0.07
al2507.SF,bottom,fb2510.DF,-0.25
ao2509.SF,top,v2601.DF,0.49
ao2509.SF,top,ps2507.GF,0.38
ao2509.SF,top,j2601.DF,0.36
ao2509.SF,top,l2601.DF,0.33
ao2509.SF,top,al2507.SF,0.31
ao2509.SF,top,i2601.DF,0.28
ao2509.SF,top,pp2509.DF,0.28
ao2509.SF,top,hc2510.SF,0.28
ao2509.SF,top,FG509.ZF,0.27
ao2509.SF,top,rb2510.SF,0.25
ao2509.SF,bottom,JR507.ZF,0.0
ao2509.SF,bottom,RI507.ZF,0.0
ao2509.SF,bottom,WH507.ZF,0.0
ao2509.SF,bottom,a2507.DF,-0.01
ao2509.SF,bottom,fb2510.DF,-0.03
ao2509.SF,bottom,au2508.SF,-0.04
ao2509.SF,bottom,SR509.ZF,-0.06
ao2509.SF,bottom,b2507.DF,-0.07
ao2509.SF,bottom,m2601.DF,-0.08
ao2509.SF,bottom,RM509.ZF,-0.08
au2508.SF,top,ag2508.SF,0.58
au2508.SF,top,cu2507.SF,0.31
au2508.SF,top,sn2507.SF,0.22
au2508.SF,top,y2601.DF,0.22
au2508.SF,top,bu2509.SF,0.19
au2508.SF,top,a2507.DF,0.18
au2508.SF,top,pb2507.SF,0.15
au2508.SF,top,pg2507.DF,0.13
au2508.SF,top,m2601.DF,0.12
au2508.SF,top,zn2507.SF,0.12
au2508.SF,bottom,rb2510.SF,-0.12
au2508.SF,bottom,hc2510.SF,-0.13
au2508.SF,bottom,CJ509.ZF,-0.13
au2508.SF,bottom,jm2509.DF,-0.16
au2508.SF,bottom,SM509.ZF,-0.17
au2508.SF,bottom,SA509.ZF,-0.17
au2508.SF,bottom,SF509.ZF,-0.18
au2508.SF,bottom,j2601.DF,-0.19
au2508.SF,bottom,v2601.DF,-0.22
au2508.SF,bottom,ps2507.GF,-0.31
br2507.SF,top,l2601.DF,0.66
br2507.SF,top,ru2509.SF,0.62
br2507.SF,top,PR509.ZF,0.58
br2507.SF,top,eg2509.DF,0.52
br2507.SF,top,PX509.ZF,0.52
br2507.SF,top,TA509.ZF,0.52
br2507.SF,top,eb2507.DF,0.49
br2507.SF,top,ps2507.GF,0.46
br2507.SF,top,PF507.ZF,0.45
br2507.SF,top,i2601.DF,0.44
br2507.SF,bottom,JR507.ZF,0.0
br2507.SF,bottom,LR507.ZF,0.0
br2507.SF,bottom,RI507.ZF,0.0
br2507.SF,bottom,a2507.DF,-0.01
br2507.SF,bottom,RS507.ZF,-0.01
br2507.SF,bottom,jd2508.DF,-0.02
br2507.SF,bottom,lh2509.DF,-0.05
br2507.SF,bottom,m2601.DF,-0.05
br2507.SF,bottom,au2508.SF,-0.09
br2507.SF,bottom,fb2510.DF,-0.22
bu2509.SF,top,fu2509.SF,0.8
bu2509.SF,top,TA509.ZF,0.67
bu2509.SF,top,l2601.DF,0.66
bu2509.SF,top,sc2507.INE,0.65
bu2509.SF,top,PR509.ZF,0.62
bu2509.SF,top,PX509.ZF,0.62
bu2509.SF,top,p2601.DF,0.59
bu2509.SF,top,pp2509.DF,0.59
bu2509.SF,top,MA509.ZF,0.55
bu2509.SF,top,eg2509.DF,0.53
bu2509.SF,bottom,JR507.ZF,0.0
bu2509.SF,bottom,rr2508.DF,-0.0
bu2509.SF,bottom,RI507.ZF,0.0
bu2509.SF,bottom,WH507.ZF,0.0
bu2509.SF,bottom,ZC507.ZF,0.0
bu2509.SF,bottom,LR507.ZF,0.0
bu2509.SF,bottom,ps2507.GF,-0.0
bu2509.SF,bottom,m2601.DF,-0.06
bu2509.SF,bottom,fb2510.DF,-0.09
bu2509.SF,bottom,wr2510.SF,-0.1
cu2507.SF,top,l2601.DF,0.68
cu2507.SF,top,zn2507.SF,0.65
cu2507.SF,top,al2507.SF,0.65
cu2507.SF,top,ss2508.SF,0.57
cu2507.SF,top,ag2508.SF,0.56
cu2507.SF,top,eg2509.DF,0.56
cu2507.SF,top,ru2509.SF,0.55
cu2507.SF,top,CF509.ZF,0.54
cu2507.SF,top,ni2507.SF,0.53
cu2507.SF,top,PR509.ZF,0.51
cu2507.SF,bottom,JR507.ZF,0.0
cu2507.SF,bottom,LR507.ZF,0.0
cu2507.SF,bottom,ZC507.ZF,0.0
cu2507.SF,bottom,RI507.ZF,0.0
cu2507.SF,bottom,WH507.ZF,0.0
cu2507.SF,bottom,a2507.DF,-0.01
cu2507.SF,bottom,m2601.DF,-0.07
cu2507.SF,bottom,jd2508.DF,-0.09
cu2507.SF,bottom,wr2510.SF,-0.13
cu2507.SF,bottom,fb2510.DF,-0.17
fu2509.SF,top,sc2507.INE,0.81
fu2509.SF,top,bu2509.SF,0.8
fu2509.SF,top,TA509.ZF,0.67
fu2509.SF,top,l2601.DF,0.67
fu2509.SF,top,PX509.ZF,0.63
fu2509.SF,top,p2601.DF,0.62
fu2509.SF,top,PR509.ZF,0.62
fu2509.SF,top,pp2509.DF,0.62
fu2509.SF,top,pg2507.DF,0.61
fu2509.SF,top,MA509.ZF,0.53
fu2509.SF,bottom,JR507.ZF,0.0
fu2509.SF,bottom,LR507.ZF,0.0
fu2509.SF,bottom,WH507.ZF,0.0
fu2509.SF,bottom,c2509.DF,-0.02
fu2509.SF,bottom,m2601.DF,-0.03
fu2509.SF,bottom,a2507.DF,-0.04
fu2509.SF,bottom,wr2510.SF,-0.04
fu2509.SF,bottom,cs2507.DF,-0.04
fu2509.SF,bottom,fb2510.DF,-0.07
fu2509.SF,bottom,SA509.ZF,-0.07
hc2510.SF,top,rb2510.SF,0.97
hc2510.SF,top,i2601.DF,0.78
hc2510.SF,top,j2601.DF,0.71
hc2510.SF,top,jm2509.DF,0.7
hc2510.SF,top,SA509.ZF,0.63
hc2510.SF,top,FG509.ZF,0.62
hc2510.SF,top,l2601.DF,0.62
hc2510.SF,top,v2601.DF,0.59
hc2510.SF,top,pp2509.DF,0.59
hc2510.SF,top,SM509.ZF,0.54
hc2510.SF,bottom,JR507.ZF,0.0
hc2510.SF,bottom,lh2509.DF,0.0
hc2510.SF,bottom,WH507.ZF,0.0
hc2510.SF,bottom,RI507.ZF,0.0
hc2510.SF,bottom,LR507.ZF,0.0
hc2510.SF,bottom,rr2508.DF,-0.01
hc2510.SF,bottom,RS507.ZF,-0.01
hc2510.SF,bottom,au2508.SF,-0.13
hc2510.SF,bottom,m2601.DF,-0.14
hc2510.SF,bottom,fb2510.DF,-0.18
ni2507.SF,top,ss2508.SF,0.68
ni2507.SF,top,cu2507.SF,0.53
ni2507.SF,top,l2601.DF,0.51
ni2507.SF,top,MA509.ZF,0.47
ni2507.SF,top,al2507.SF,0.44
ni2507.SF,top,pp2509.DF,0.44
ni2507.SF,top,zn2507.SF,0.43
ni2507.SF,top,rb2510.SF,0.42
ni2507.SF,top,eg2509.DF,0.42
ni2507.SF,top,i2601.DF,0.42
ni2507.SF,bottom,JR507.ZF,0.0
ni2507.SF,bottom,LR507.ZF,0.0
ni2507.SF,bottom,ZC507.ZF,0.0
ni2507.SF,bottom,RI507.ZF,0.0
ni2507.SF,bottom,WH507.ZF,0.0
ni2507.SF,bottom,jd2508.DF,-0.01
ni2507.SF,bottom,wr2510.SF,-0.05
ni2507.SF,bottom,m2601.DF,-0.09
ni2507.SF,bottom,bb2511.DF,-0.13
ni2507.SF,bottom,fb2510.DF,-0.17
pb2507.SF,top,cu2507.SF,0.5
pb2507.SF,top,l2601.DF,0.49
pb2507.SF,top,zn2507.SF,0.48
pb2507.SF,top,CF509.ZF,0.4
pb2507.SF,top,al2507.SF,0.39
pb2507.SF,top,p2601.DF,0.37
pb2507.SF,top,eg2509.DF,0.37
pb2507.SF,top,MA509.ZF,0.37
pb2507.SF,top,CY509.ZF,0.36
pb2507.SF,top,TA509.ZF,0.36
pb2507.SF,bottom,JR507.ZF,0.0
pb2507.SF,bottom,bb2511.DF,0.0
pb2507.SF,bottom,PM507.ZF,0.0
pb2507.SF,bottom,RI507.ZF,0.0
pb2507.SF,bottom,ZC507.ZF,0.0
pb2507.SF,bottom,LR507.ZF,0.0
pb2507.SF,bottom,WH507.ZF,0.0
pb2507.SF,bottom,c2509.DF,-0.02
pb2507.SF,bottom,wr2510.SF,-0.1
pb2507.SF,bottom,fb2510.DF,-0.15
rb2510.SF,top,hc2510.SF,0.97
rb2510.SF,top,i2601.DF,0.78
rb2510.SF,top,j2601.DF,0.72
rb2510.SF,top,jm2509.DF,0.69
rb2510.SF,top,FG509.ZF,0.64
rb2510.SF,top,SA509.ZF,0.62
rb2510.SF,top,l2601.DF,0.62
rb2510.SF,top,v2601.DF,0.6
rb2510.SF,top,pp2509.DF,0.58
rb2510.SF,top,SM509.ZF,0.53
rb2510.SF,bottom,bb2511.DF,-0.0
rb2510.SF,bottom,PM507.ZF,0.0
rb2510.SF,bottom,WH507.ZF,0.0
rb2510.SF,bottom,RI507.ZF,0.0
rb2510.SF,bottom,JR507.ZF,0.0
rb2510.SF,bottom,LR507.ZF,0.0
rb2510.SF,bottom,RS507.ZF,-0.01
rb2510.SF,bottom,m2601.DF,-0.09
rb2510.SF,bottom,au2508.SF,-0.12
rb2510.SF,bottom,fb2510.DF,-0.2
ru2509.SF,top,br2507.SF,0.62
ru2509.SF,top,l2601.DF,0.62
ru2509.SF,top,eg2509.DF,0.58
ru2509.SF,top,jm2509.DF,0.55
ru2509.SF,top,cu2507.SF,0.55
ru2509.SF,top,i2601.DF,0.55
ru2509.SF,top,SA509.ZF,0.52
ru2509.SF,top,CF509.ZF,0.5
ru2509.SF,top,zn2507.SF,0.5
ru2509.SF,top,PF507.ZF,0.5
ru2509.SF,bottom,JR507.ZF,0.0
ru2509.SF,bottom,LR507.ZF,0.0
ru2509.SF,bottom,WH507.ZF,0.0
ru2509.SF,bottom,bb2511.DF,-0.04
ru2509.SF,bottom,lh2509.DF,-0.05
ru2509.SF,bottom,jd2508.DF,-0.06
ru2509.SF,bottom,wr2510.SF,-0.06
ru2509.SF,bottom,au2508.SF,-0.09
ru2509.SF,bottom,m2601.DF,-0.14
ru2509.SF,bottom,fb2510.DF,-0.19
sn2507.SF,top,l2601.DF,0.55
sn2507.SF,top,cu2507.SF,0.44
sn2507.SF,top,p2601.DF,0.44
sn2507.SF,top,i2601.DF,0.42
sn2507.SF,top,ag2508.SF,0.4
sn2507.SF,top,y2601.DF,0.4
sn2507.SF,top,fu2509.SF,0.38
sn2507.SF,top,PX509.ZF,0.38
sn2507.SF,top,pg2507.DF,0.37
sn2507.SF,top,ss2508.SF,0.37
sn2507.SF,bottom,RS507.ZF,-0.02
sn2507.SF,bottom,jd2508.DF,-0.03
sn2507.SF,bottom,cs2507.DF,-0.03
sn2507.SF,bottom,SA509.ZF,-0.03
sn2507.SF,bottom,UR509.ZF,-0.03
sn2507.SF,bottom,RM509.ZF,-0.04
sn2507.SF,bottom,fb2510.DF,-0.06
sn2507.SF,bottom,c2509.DF,-0.06
sn2507.SF,bottom,a2507.DF,-0.08
sn2507.SF,bottom,bb2511.DF,-0.09
sp2507.SF,top,l2601.DF,0.56
sp2507.SF,top,eb2507.DF,0.45
sp2507.SF,top,eg2509.DF,0.44
sp2507.SF,top,CF509.ZF,0.44
sp2507.SF,top,TA509.ZF,0.44
sp2507.SF,top,MA509.ZF,0.43
sp2507.SF,top,PR509.ZF,0.43
sp2507.SF,top,p2601.DF,0.42
sp2507.SF,top,PF507.ZF,0.41
sp2507.SF,top,PX509.ZF,0.4
sp2507.SF,bottom,rr2508.DF,0.07
sp2507.SF,bottom,PM507.ZF,0.0
sp2507.SF,bottom,ZC507.ZF,0.0
sp2507.SF,bottom,RI507.ZF,0.0
sp2507.SF,bottom,JR507.ZF,0.0
sp2507.SF,bottom,LR507.ZF,0.0
sp2507.SF,bottom,WH507.ZF,0.0
sp2507.SF,bottom,au2508.SF,-0.01
sp2507.SF,bottom,wr2510.SF,-0.03
sp2507.SF,bottom,fb2510.DF,-0.14
ss2508.SF,top,ni2507.SF,0.68
ss2508.SF,top,l2601.DF,0.61
ss2508.SF,top,cu2507.SF,0.57
ss2508.SF,top,hc2510.SF,0.52
ss2508.SF,top,PR509.ZF,0.52
ss2508.SF,top,rb2510.SF,0.51
ss2508.SF,top,eg2509.DF,0.51
ss2508.SF,top,al2507.SF,0.49
ss2508.SF,top,i2601.DF,0.49
ss2508.SF,top,MA509.ZF,0.47
ss2508.SF,bottom,JR507.ZF,0.0
ss2508.SF,bottom,LR507.ZF,0.0
ss2508.SF,bottom,PM507.ZF,0.0
ss2508.SF,bottom,RI507.ZF,0.0
ss2508.SF,bottom,ZC507.ZF,0.0
ss2508.SF,bottom,WH507.ZF,0.0
ss2508.SF,bottom,lh2509.DF,-0.02
ss2508.SF,bottom,wr2510.SF,-0.02
ss2508.SF,bottom,m2601.DF,-0.1
ss2508.SF,bottom,fb2510.DF,-0.15
wr2510.SF,top,j2601.DF,0.21
wr2510.SF,top,ps2507.GF,0.21
wr2510.SF,top,SF509.ZF,0.21
wr2510.SF,top,jd2508.DF,0.18
wr2510.SF,top,m2601.DF,0.16
wr2510.SF,top,lg2507.DF,0.14
wr2510.SF,top,OI509.ZF,0.14
wr2510.SF,top,jm2509.DF,0.14
wr2510.SF,top,si2507.GF,0.13
wr2510.SF,top,cs2507.DF,0.13
wr2510.SF,bottom,PR509.ZF,-0.07
wr2510.SF,bottom,FG509.ZF,-0.08
wr2510.SF,bottom,bu2509.SF,-0.1
wr2510.SF,bottom,pb2507.SF,-0.1
wr2510.SF,bottom,PX509.ZF,-0.11
wr2510.SF,bottom,PF507.ZF,-0.11
wr2510.SF,bottom,SR509.ZF,-0.12
wr2510.SF,bottom,zn2507.SF,-0.12
wr2510.SF,bottom,cu2507.SF,-0.13
wr2510.SF,bottom,ag2508.SF,-0.14
zn2507.SF,top,cu2507.SF,0.65
zn2507.SF,top,al2507.SF,0.62
zn2507.SF,top,l2601.DF,0.6
zn2507.SF,top,i2601.DF,0.55
zn2507.SF,top,pp2509.DF,0.54
zn2507.SF,top,eg2509.DF,0.52
zn2507.SF,top,ru2509.SF,0.5
zn2507.SF,top,j2601.DF,0.5
zn2507.SF,top,rb2510.SF,0.49
zn2507.SF,top,hc2510.SF,0.49
zn2507.SF,bottom,JR507.ZF,0.0
zn2507.SF,bottom,jd2508.DF,0.0
zn2507.SF,bottom,PM507.ZF,0.0
zn2507.SF,bottom,RI507.ZF,0.0
zn2507.SF,bottom,ZC507.ZF,0.0
zn2507.SF,bottom,LR507.ZF,0.0
zn2507.SF,bottom,WH507.ZF,0.0
zn2507.SF,bottom,wr2510.SF,-0.12
zn2507.SF,bottom,bb2511.DF,-0.14
zn2507.SF,bottom,fb2510.DF,-0.19
a2507.DF,top,b2507.DF,0.55
a2507.DF,top,m2601.DF,0.51
a2507.DF,top,RM509.ZF,0.48
a2507.DF,top,c2509.DF,0.42
a2507.DF,top,cs2507.DF,0.41
a2507.DF,top,PK510.ZF,0.3
a2507.DF,top,OI509.ZF,0.27
a2507.DF,top,SA509.ZF,0.25
a2507.DF,top,y2601.DF,0.22
a2507.DF,top,AP510.ZF,0.21
a2507.DF,bottom,j2601.DF,-0.03
a2507.DF,bottom,fu2509.SF,-0.04
a2507.DF,bottom,PX509.ZF,-0.04
a2507.DF,bottom,CY509.ZF,-0.05
a2507.DF,bottom,sc2507.INE,-0.06
a2507.DF,bottom,pg2507.DF,-0.07
a2507.DF,bottom,sn2507.SF,-0.08
a2507.DF,bottom,fb2510.DF,-0.08
a2507.DF,bottom,i2601.DF,-0.08
a2507.DF,bottom,bb2511.DF,-0.1
b2507.DF,top,m2601.DF,0.87
b2507.DF,top,RM509.ZF,0.72
b2507.DF,top,a2507.DF,0.55
b2507.DF,top,OI509.ZF,0.53
b2507.DF,top,y2601.DF,0.49
b2507.DF,top,c2509.DF,0.33
b2507.DF,top,p2601.DF,0.32
b2507.DF,top,cs2507.DF,0.31
b2507.DF,top,RS507.ZF,0.28
b2507.DF,top,PK510.ZF,0.25
b2507.DF,bottom,RI507.ZF,0.0
b2507.DF,bottom,pg2507.DF,0.0
b2507.DF,bottom,ZC507.ZF,0.0
b2507.DF,bottom,PM507.ZF,0.0
b2507.DF,bottom,JR507.ZF,0.0
b2507.DF,bottom,LR507.ZF,0.0
b2507.DF,bottom,WH507.ZF,0.0
b2507.DF,bottom,UR509.ZF,-0.03
b2507.DF,bottom,ao2509.SF,-0.07
b2507.DF,bottom,i2601.DF,-0.09
bb2511.DF,top,ao2509.SF,0.2
bb2511.DF,top,p2601.DF,0.19
bb2511.DF,top,bu2509.SF,0.19
bb2511.DF,top,PF507.ZF,0.14
bb2511.DF,top,fu2509.SF,0.13
bb2511.DF,top,OI509.ZF,0.13
bb2511.DF,top,y2601.DF,0.12
bb2511.DF,top,PR509.ZF,0.12
bb2511.DF,top,si2507.GF,0.12
bb2511.DF,top,sp2507.SF,0.11
bb2511.DF,bottom,a2507.DF,-0.1
bb2511.DF,bottom,jm2509.DF,-0.1
bb2511.DF,bottom,rr2508.DF,-0.11
bb2511.DF,bottom,PK510.ZF,-0.11
bb2511.DF,bottom,CJ509.ZF,-0.12
bb2511.DF,bottom,UR509.ZF,-0.12
bb2511.DF,bottom,FG509.ZF,-0.13
bb2511.DF,bottom,ni2507.SF,-0.13
bb2511.DF,bottom,zn2507.SF,-0.14
bb2511.DF,bottom,AP510.ZF,-0.14
c2509.DF,top,cs2507.DF,0.84
c2509.DF,top,a2507.DF,0.42
c2509.DF,top,SA509.ZF,0.38
c2509.DF,top,RM509.ZF,0.36
c2509.DF,top,jm2509.DF,0.33
c2509.DF,top,b2507.DF,0.33
c2509.DF,top,SM509.ZF,0.33
c2509.DF,top,FG509.ZF,0.3
c2509.DF,top,SF509.ZF,0.29
c2509.DF,top,si2507.GF,0.28
c2509.DF,bottom,j2601.DF,0.0
c2509.DF,bottom,rr2508.DF,-0.0
c2509.DF,bottom,pb2507.SF,-0.02
c2509.DF,bottom,fu2509.SF,-0.02
c2509.DF,bottom,bb2511.DF,-0.03
c2509.DF,bottom,i2601.DF,-0.03
c2509.DF,bottom,pg2507.DF,-0.04
c2509.DF,bottom,ag2508.SF,-0.05
c2509.DF,bottom,sn2507.SF,-0.06
c2509.DF,bottom,sc2507.INE,-0.07
cs2507.DF,top,c2509.DF,0.84
cs2507.DF,top,a2507.DF,0.41
cs2507.DF,top,RM509.ZF,0.33
cs2507.DF,top,b2507.DF,0.31
cs2507.DF,top,SA509.ZF,0.3
cs2507.DF,top,jm2509.DF,0.3
cs2507.DF,top,si2507.GF,0.26
cs2507.DF,top,SF509.ZF,0.26
cs2507.DF,top,UR509.ZF,0.26
cs2507.DF,top,OI509.ZF,0.25
cs2507.DF,bottom,JR507.ZF,0.0
cs2507.DF,bottom,LR507.ZF,0.0
cs2507.DF,bottom,RI507.ZF,0.0
cs2507.DF,bottom,WH507.ZF,0.0
cs2507.DF,bottom,ZC507.ZF,0.0
cs2507.DF,bottom,sn2507.SF,-0.03
cs2507.DF,bottom,fu2509.SF,-0.04
cs2507.DF,bottom,sc2507.INE,-0.05
cs2507.DF,bottom,fb2510.DF,-0.07
